,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDRESS,BANK,ATM_ID,COORD_X,COOR_Y,WITHIN500,WITHIN1000,FREGUESIA,MWay_Dist,Police_Dis,V_Index,PARISH,NUMBER,N_INCOME,INCOME,N_DENSITY,DENSITY,N_AGE,AGE,N_UNP_RATE,UNP_RATE,N_COM_DENS,COM_DENS,N_FREQ_ATTACK,FREQ_ATTACK,N_MANUAL_ATK,MANUAL_ATK,N_LOGIC_ATK,LOGIC_ATK,N_FRAUD_ATTACK,FRAUD_ATTACK,N_CARD_SKIMMING,CARD_SKIMMING,N_CARD_TRAPPING,CARD_TRAPPING,N_CASH_TRAPPING,CASH_TRAPPING,N_TRANS_REVER,TRANS_REVER,N_PHYS_ATTACK,PHYS_ATTACK,N_BURGLARY,BURGLARY,N_RAM_RAIDS,RAM_RAIDS,N_EXPLO_GAS,EXPLO_GAS,N_VANDALISM,VANDALISM,N_LOG_NETWORK,LOG_NETWORK,N_LOG_ISOLATED,LOG_ISOLATED,EVENT_DATE,DETEC_DATE,ACCOUNT_DATE,YEAR_ACOUNT,N_IMPLEM_TYPE,GROSS_LOSS,INDIRECT_LOSS,NET_LOSS,N_ATTACK_L0,N_ATTACK_L1,N_ATTACK_L2,PERSONA1,PERSONA2,ATTACK_DURATION,SUCCESS_ATTACK,RECOVERED,RECOV_AMOUNT,RECOV_DATE
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,BPI17,-9.17093,38.7561,0,1000,Lumiar,195.35,898.57,1,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15-Jun-2015 19:00,21-Jun-2015 14:00,30-Jun-2015 00:00,2015,3,25,0,25,1,0101,010103,4,,1,1,0,0,
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,BPI17,-9.17093,38.7561,0,1000,Lumiar,195.35,898.57,0,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11-Sep-2015 22:00,01-Sep-2015 10:30,30-Sep-2015 00:00,2015,3,850,0,850,1,0101,010102,4,,0.41,1,0,0,
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,BPI17,-9.17093,38.7561,0,1000,Lumiar,195.35,898.57,0,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12-Dec-2014 10:00,12-Dec-2014 16:00,30-Dec-2014 12:00,2014,3,3000,0,3000,1,0101,010101,4,,1,1,0,0,
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,BPI17,-9.17093,38.7561,0,1000,Lumiar,195.35,898.57,1,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12-Feb-2015 10:00,12-Feb-2015 10:00,31-Mar-2015 00:00,2014,5,0,0,0,2,0201,020101,2,,30,0,0,0,
"Estrada De Telheiras, Lisbon",BANCO COMERCIAL PORTUGUES,CP01,-9.15911,38.7602,0,1000,Lumiar,190.83,568.68,0,7,0,5,56,1,0.00,2,35,1,2,2,9,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-Jun-2011 21:30,06-Jun-2011 16:00,30-Jun-2011 00:00,2011,3,70,0,70,1,0101,010103,4,,0.41,1,0,0,
"Estrada De Telheiras, Lisbon",BANCO COMERCIAL PORTUGUES,CP01,-9.15911,38.7602,0,1000,Lumiar,190.83,568.68,1,7,0,5,56,1,0.00,2,35,1,2,2,9,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Jan-2010 16:30,23-Jan-2010 16:30,28-Feb-2010 12:00,2010,3,6890,0,6890,1,0101,010101,2,,4,1,0,0,
"Estrada De Telheiras, Lisbon",BANCO COMERCIAL PORTUGUES,CP01,-9.15911,38.7602,0,1000,Lumiar,190.83,568.68,0,7,0,5,56,1,0.00,2,35,1,2,2,9,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-Jun-2014 12:00,29-Jun-2014 19:30,30-Jul-2014 12:00,2014,1,8250,0,8250,1,0101,010101,2,,2,1,0,0,
"Rua Abranches Ferrao 8C, Lisbon",BANCO COMERCIAL PORTUGUES,CP52,-9.17203,38.75064,0,0,Carnide,766.67,1432.30,1,11,1,5,52,1,4.63,2,34,2,9,2,18,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-Jan-2010 15:00,30-Jan-2010 18:00,28-Feb-2010 12:00,2014,4,5000,0,5000,1,0101,010101,2,,16,1,0,0,
"Rua Abranches Ferrao 8C, Lisbon",BANCO COMERCIAL PORTUGUES,CP52,-9.17203,38.75064,0,0,Carnide,766.67,1432.30,1,11,1,5,52,1,4.63,2,34,2,9,2,18,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03-May-2012 15:00,12-May-2012 10:00,30-May-2012 12:00,2012,3,12100,0,12100,1,0101,010101,2,,6,1,0,0,
"Rua Abranches Ferrao 8C, Lisbon",BANCO COMERCIAL PORTUGUES,CP52,-9.17203,38.75064,0,0,Carnide,766.67,1432.30,1,11,1,5,52,1,4.63,2,34,2,9,2,18,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-May-2012 11:00,10-May-2012 10:45,30-May-2012 00:00,2014,1,170,0,170,1,0101,010103,4,,3,1,0,0,
