Entity,Address,County,GoogleGeocode (only values),y,x
BELM - 26 Esquadra LX,"Praca Afonso de Albuquerque, 1300-004 LISBOA",Lisboa,"38.6972248,-9.2007205",38.6972248,-9.2007205
CORPO DE INTERVENO,"Calcada Ajuda, 23, 1300-006, LISBOA",Lisboa,"38.7005524,-9.2000942",38.7005524,-9.2000942
LISBOA - Diviso de Investigao Criminal,"Rua Cintura do Porto de Lisboa, Edifcio P.S.P. - Alcntara 1399-014 LISBOA",Lisboa,"38.701928,-9.173815",38.701928,-9.173815
CALVRIO - 4 Diviso Policial LX,"Largo do Calvario, 7, 1300-113, LISBOA",Lisboa,"38.7046886,-9.1773188",38.7046886,-9.1773188
HOSPITAL DE SO FRANCISCO XAVIER - Posto de Polcia,"Estrada Forte do Alto do Duque - Sao Francisco Xavier, 1449-005 LISBOA",Lisboa,"38.7084540,-9.2169850",38.708454,-9.216985
ESQUADRA DA BAIXA POMBALINA - 2 Esquadra LX,"Rua da Prata, 38 1100-039 LISBOA",Lisboa,"38.7093337,-9.1361970",38.7093337,-9.136197
PARQUE DE VIATURAS REBOCADAS - RESTELO,"Rua Gregorio Lopes, s/n 1400-195 LISBOA",Lisboa,"38.7105237,-9.2107928",38.7105237,-9.2107928
ESTRELA - 30 Esquadra LX,"Tv. de Miguel Lpi,1200-725 Estrela, Lapa,Portugal",Lisboa,"38.711134,-9.1566431",38.711134,-9.1566431
QUINTA DO CABRINHA - AVENIDA DE CEUTA - 29 Esquadra LX,"Rua do Bairro Quinta do Cabrinha, 5, 1300906 LISBOA",Lisboa,"38.7121123,-9.1756183",38.7121123,-9.1756183
SANTA APOLNIA - Esquadra de Turismo,"Largo Museu da Artilharia, 1, 1100-366 LISBOA",Lisboa,"38.7123886,-9.1251479",38.7123886,-9.1251479
RESIDENCIA OFICIAL DO 1 MINISTRO - Esquadra de Segurana,"Rua da Imprensa a Estrela, 4, 1200-888 LISBOA",Lisboa,"38.7127008,-9.1558626",38.7127008,-9.1558626
PRESIDNCIA DA REPUBLICA - Esquadra de Segurana,"Palacio de Belem, 1349-022 LISBOA",Lisboa,"38.7127318,-9.1858818",38.7127318,-9.1858818
BAIRRO ALTO - 3 Esquadra LX,"Rua da Atalaia, 138, 1200-033 LISBOA",Lisboa,"38.7133319,-9.1451030",38.7133319,-9.145103
PRESIDENCIA DO CONSELHO DE MINISTRO - Esquadra de Segurana,"Rua Professor Gomes Teixeira, 1350-265 LISBOA",Lisboa,"38.7137484,-9.1662377",38.7137484,-9.1662377
CP/METRO - Esquadra de Investigao Criminal,"Estao da CP / Rossio, Edifcio do Chefe da Estao 1200-147 LISBOA",Lisboa,"38.714630,-9.140685",38.71463,-9.140685
